"","MSZoning","LotArea","LotShape","Neighborhood","BldgType","OverallQual","OverallCond","YearBuilt","RoofStyle","ExterQual","ExterCond","Foundation","BsmtQual","BsmtFinType1","TotalBsmtSF","HeatingQC","CentralAir","Electrical","GrLivArea","FullBath","HalfBath","BedroomAbvGr","KitchenAbvGr","KitchenQual","Functional","FireplaceQu","GarageCars","PavedDrive","SaleType","SaleCondition","SalePrice","numb_add_flr","pool","porch_area","porch_type","Remod"
"1","RL",8450,"Reg","CollgCr","1Fam","4","3",2003,"Gable","Gd","2","PConc","Gd","GLQ",856,"Ex","Y","SBrkr",1710,"2","1",3,1,"Gd","Typ","No",2,"Y","WD","Normal",208500,2,"0",61,"open_porch","1"
"2","RL",9600,"Reg","Veenker","1Fam","3","4",1976,"Gable","TA","2","CBlock","Gd","ALQ",1262,"Ex","Y","SBrkr",1262,"2","0",3,1,"TA","Typ","TA",2,"Y","WD","Normal",181500,1,"0",298,"wood_deck","1"
"3","RL",11250,"IR1","CollgCr","1Fam","4","3",2001,"Gable","Gd","2","PConc","Gd","GLQ",920,"Ex","Y","SBrkr",1786,"2","1",3,1,"Gd","Typ","TA",2,"Y","WD","Normal",223500,2,"0",42,"open_porch","0"
"4","RL",9550,"IR1","Crawfor","1Fam","4","3",1915,"Gable","TA","2","BrkTil","TA","ALQ",756,"Gd","Y","SBrkr",1717,"1","0",3,1,"Gd","Typ","AA",3,"Y","WD","Abnorml",140000,2,"0",307,"multiple","0"
"5","RL",14260,"IR1","NoRidge","1Fam","4","3",2000,"Gable","Gd","2","PConc","Gd","GLQ",1145,"Ex","Y","SBrkr",2198,"2","1",4,1,"Gd","Typ","TA",3,"Y","WD","Normal",250000,2,"0",276,"multiple","1"
"6","RL",14115,"IR1","Mitchel","1Fam","3","3",1993,"Gable","TA","2","Other","Gd","GLQ",796,"Ex","Y","SBrkr",1362,"1","1",1,1,"TA","Typ","No",2,"Y","WD","Normal",143000,2,"0",390,"multiple","0"
"7","RL",10084,"Reg","Somerst","1Fam","4","3",2004,"Gable","Gd","2","PConc","Ex","GLQ",1686,"Ex","Y","SBrkr",1694,"2","0",3,1,"Gd","Typ","AA",2,"Y","WD","Normal",307000,1,"0",312,"multiple","0"
"8","RL",10382,"IR1","NWAmes","1Fam","4","3",1973,"Gable","TA","2","CBlock","Gd","ALQ",1107,"Ex","Y","SBrkr",2090,"2","1",3,1,"TA","Typ","TA",2,"Y","WD","Normal",2e+05,2,"0",667,"multiple","1"
"9","RM",6120,"Reg","OldTown","1Fam","4","3",1931,"Gable","TA","2","BrkTil","TA","Unf",952,"Gd","Y","Fuse or Mix",1774,"2","0",2,2,"TA","Min","TA",2,"Y","WD","Abnorml",129900,2,"0",295,"multiple","0"
"10","RL",7420,"Reg","BrkSide","2fmCon","3","3",1939,"Gable","TA","2","BrkTil","TA","GLQ",991,"Ex","Y","SBrkr",1077,"1","0",2,2,"TA","Typ","TA",1,"Y","WD","Normal",118000,1,"0",4,"open_porch","0"
